Geography,Geographic Area Name,Total Population,Population (Male),Population (Female),Population (Under 5 years old),Population (5-9 years old),Population (10-14 years old),Population (15-19 years old),Population (20-24 years old),Population (25-34 years old),Population (35-44 years old),Population (45-54 years old),Population (55-59 years old),Population (60-64 years old),Population (65-74 years old),Population (75-84 years old),Population (85+ years old),Race (One Race),Race (Two or More Races),Race (one: white),Race (one: black or African American),Race (one: native American),Race (one: black or Asian),Race (one: Pacific Islander),Race (one: Other),Race (two+: white and black or African American),Race (two+: white and Native American),Race (two+: white and Asian),Race (two+: black and Native American,Race (Hispanic or Latino),Race (Not Hispanic or Latino)
1400000US06037101110,"Census Tract 1011.10, Los Angeles County, California",3923,1951,1972,199,153,204,209,151,506,625,583,376,215,454,209,39,3643,280,2946,17,2,406,3,269,63,70,23,0,963,2960
1400000US06037101122,"Census Tract 1011.22, Los Angeles County, California",4119,1971,2148,100,204,248,110,323,443,256,729,404,425,369,345,163,3870,249,3260,148,0,426,0,36,19,0,111,0,182,3937
1400000US06037101220,"Census Tract 1012.20, Los Angeles County, California",3775,1722,2053,126,161,344,198,209,501,497,664,316,223,307,184,45,3387,388,2311,94,0,390,0,592,20,40,52,0,1521,2254
1400000US06037101221,"Census Tract 1012.21, Los Angeles County, California",3787,2057,1730,125,170,210,343,261,376,652,533,242,303,250,107,215,3684,103,2525,213,0,267,0,679,0,0,0,0,1182,2605
1400000US06037101222,"Census Tract 1012.22, Los Angeles County, California",2717,1375,1342,226,179,115,61,220,336,451,472,111,140,213,164,29,2688,29,2329,4,0,65,0,290,0,29,0,0,1182,1535
1400000US06037101300,"Census Tract 1013, Los Angeles County, California",3741,1860,1881,75,122,166,85,146,437,462,548,240,418,526,270,246,3583,158,3199,172,0,139,0,73,0,0,48,0,360,3381
1400000US06037101400,"Census Tract 1014, Los Angeles County, California",3246,1598,1648,198,126,91,133,247,295,370,616,262,241,430,165,72,2939,307,2519,22,0,331,0,67,0,17,145,0,512,2734
1400000US06037102103,"Census Tract 1021.03, Los Angeles County, California",1920,935,985,178,163,105,76,31,300,366,197,134,127,139,72,32,1849,71,1548,21,0,242,0,38,0,21,16,0,172,1748
1400000US06037102104,"Census Tract 1021.04, Los Angeles County, California",4187,1815,2372,234,167,197,278,271,510,395,738,302,306,425,296,68,3922,265,3277,92,3,507,22,21,14,0,88,0,519,3668
1400000US06037102105,"Census Tract 1021.05, Los Angeles County, California",1797,844,953,154,56,64,68,115,172,407,174,248,130,125,49,35,1474,323,897,14,37,76,9,441,51,10,6,17,1207,590
1400000US06037102107,"Census Tract 1021.07, Los Angeles County, California",4082,1963,2119,105,166,258,247,180,763,448,462,432,343,451,135,92,3884,198,3043,63,0,419,0,359,9,0,98,1,962,3120
1400000US06037103101,"Census Tract 1031.01, Los Angeles County, California",2484,1323,1161,243,91,50,92,110,349,380,235,306,285,191,146,6,2283,201,1931,19,0,200,0,133,14,0,38,0,581,1903
1400000US06037103102,"Census Tract 1031.02, Los Angeles County, California",4716,2264,2452,131,183,230,216,284,604,700,738,349,462,428,304,87,4533,183,3517,0,0,476,0,540,0,73,37,0,1292,3424
1400000US06037103201,"Census Tract 1032.01, Los Angeles County, California",3961,1887,2074,214,148,234,130,148,612,409,673,357,206,489,242,99,3838,123,3341,42,0,371,0,84,0,73,0,0,1038,2923
1400000US06037103202,"Census Tract 1032.02, Los Angeles County, California",2569,1375,1194,142,96,169,71,40,421,276,242,144,256,591,109,12,2557,12,1807,36,0,122,0,592,0,0,11,0,833,1736
1400000US06037103300,"Census Tract 1033, Los Angeles County, California",3726,1894,1832,136,204,296,191,190,291,419,620,383,222,452,192,130,3409,317,3008,14,44,300,0,43,0,85,21,0,452,3274
1400000US06037103401,"Census Tract 1034.01, Los Angeles County, California",2596,1389,1207,81,119,116,99,126,372,264,411,252,205,311,207,33,2452,144,1897,0,49,471,0,35,0,0,100,0,264,2332
1400000US06037103402,"Census Tract 1034.02, Los Angeles County, California",3795,1956,1839,238,311,94,9,194,406,608,495,302,518,409,189,22,3679,116,2443,80,0,683,0,473,0,5,55,0,803,2992
1400000US06037104103,"Census Tract 1041.03, Los Angeles County, California",3969,1943,2026,218,284,161,218,239,850,517,424,148,286,321,207,96,3261,708,1897,540,27,300,0,497,1,12,18,37,2636,1333
1400000US06037104105,"Census Tract 1041.05, Los Angeles County, California",5711,2580,3131,308,320,483,620,488,694,745,712,375,154,483,175,154,5150,561,2622,240,28,314,0,1946,0,16,0,0,4716,995
1400000US06037104108,"Census Tract 1041.08, Los Angeles County, California",5551,2974,2577,348,440,418,237,585,971,790,665,261,299,312,165,60,5389,162,3117,275,12,96,27,1862,49,21,26,0,4838,713
1400000US06037104124,"Census Tract 1041.24, Los Angeles County, California",3843,1717,2126,346,116,180,226,191,559,491,487,306,271,437,179,54,3501,342,2100,529,6,365,0,501,0,0,0,0,1833,2010
1400000US06037104201,"Census Tract 1042.01, Los Angeles County, California",4718,2501,2217,278,329,257,303,369,945,666,518,228,225,359,188,53,4505,213,2547,456,45,0,0,1457,16,3,0,0,4210,508
1400000US06037104203,"Census Tract 1042.03, Los Angeles County, California",5420,2692,2728,303,508,489,334,404,740,1092,664,212,187,279,175,33,4796,624,2653,356,59,40,0,1688,0,0,0,0,4930,490
1400000US06037104204,"Census Tract 1042.04, Los Angeles County, California",3684,1796,1888,254,124,239,398,313,613,404,646,167,147,152,126,101,3236,448,2219,166,57,193,0,601,18,85,11,0,2905,779
1400000US06037104310,"Census Tract 1043.10, Los Angeles County, California",4961,2477,2484,322,355,494,319,337,850,701,618,278,193,408,59,27,4620,341,2547,68,0,16,0,1989,61,0,0,0,4669,292
1400000US06037104321,"Census Tract 1043.21, Los Angeles County, California",3128,1452,1676,89,194,217,257,197,568,317,417,114,103,496,136,23,2534,594,1760,130,0,28,0,616,0,100,45,0,2870,258
1400000US06037104322,"Census Tract 1043.22, Los Angeles County, California",2005,905,1100,160,164,50,201,86,375,155,354,95,114,235,8,8,1965,40,1557,49,2,23,0,334,0,0,0,0,1848,157
1400000US06037104401,"Census Tract 1044.01, Los Angeles County, California",3134,1493,1641,169,274,264,262,248,445,433,232,263,194,300,33,17,3053,81,1691,21,13,39,7,1282,0,0,0,0,3021,113
1400000US06037104403,"Census Tract 1044.03, Los Angeles County, California",2723,1299,1424,166,154,188,109,178,500,323,397,91,161,282,97,77,2614,109,1488,0,0,128,0,998,0,0,8,0,2595,128
1400000US06037104404,"Census Tract 1044.04, Los Angeles County, California",3592,1821,1771,175,238,334,342,269,558,477,470,205,150,241,118,15,3358,234,1547,0,12,97,0,1702,0,0,0,0,3428,164
1400000US06037104500,"Census Tract 1045, Los Angeles County, California",2866,1533,1333,305,217,179,157,248,452,350,415,137,91,166,128,21,2374,492,1426,1,10,0,0,937,0,0,20,0,2826,40
1400000US06037104610,"Census Tract 1046.10, Los Angeles County, California",3473,1677,1796,218,260,272,282,241,549,507,331,207,227,260,80,39,3335,138,1737,0,14,0,0,1584,0,13,0,0,3385,88
1400000US06037104620,"Census Tract 1046.20, Los Angeles County, California",3559,1795,1764,252,269,186,245,337,620,451,398,288,124,220,106,63,3125,434,1666,37,60,19,0,1343,0,0,0,0,3476,83
1400000US06037104701,"Census Tract 1047.01, Los Angeles County, California",3957,1875,2082,192,389,416,429,336,569,446,568,180,126,204,75,27,3940,17,2401,80,0,13,24,1422,0,6,0,0,3788,169
1400000US06037104703,"Census Tract 1047.03, Los Angeles County, California",2410,1284,1126,145,200,246,149,256,403,357,411,34,48,114,47,0,2071,339,1131,210,95,0,0,635,0,0,15,0,2064,346
1400000US06037104704,"Census Tract 1047.04, Los Angeles County, California",4525,1892,2633,297,494,451,368,351,646,594,524,248,106,226,205,15,3953,572,2624,395,0,68,0,866,27,0,0,0,3684,841
1400000US06037104821,"Census Tract 1048.21, Los Angeles County, California",3268,1514,1754,160,207,329,221,267,574,453,310,279,167,172,108,21,2994,274,1723,69,34,95,0,1073,0,0,5,0,2959,309
1400000US06037104822,"Census Tract 1048.22, Los Angeles County, California",2566,1311,1255,166,196,172,183,241,326,412,339,191,97,101,110,32,2356,210,1533,14,52,151,0,606,0,39,10,0,2309,257
1400000US06037104823,"Census Tract 1048.23, Los Angeles County, California",3526,1816,1710,302,233,280,363,307,272,558,627,138,176,104,131,35,2857,669,1710,0,5,362,0,780,0,0,0,0,3083,443
1400000US06037104824,"Census Tract 1048.24, Los Angeles County, California",2639,1352,1287,174,205,216,181,80,387,496,208,197,115,311,27,42,2449,190,1380,19,60,42,0,948,45,0,0,0,2483,156
