Geography,Geographic Area Name,"Employed population (16+ years, all)","Employed population (16+ years, female)",Workers who commute to work (total),Workers who commute to work (drive alone),Workers who commute to work (carpool),Workers who commute to work (public transit),Workers who commute to work (walk),Workers who commute to work (other),Workers who commute to work (work from home),Mean travel time to work (minutes),Median household income (dollars),Mean household income (dollars)
1400000US06037101110,"Census Tract 1011.10, Los Angeles County, California",3356,1715,1953,1586,223,60,0,18,66,32.4,74625,82334
1400000US06037101122,"Census Tract 1011.22, Los Angeles County, California",3548,1809,1997,1722,103,8,0,34,130,40.7,93125,120908
1400000US06037101220,"Census Tract 1012.20, Los Angeles County, California",3123,1678,1745,1372,83,105,16,67,102,29,55682,78330
1400000US06037101221,"Census Tract 1012.21, Los Angeles County, California",3216,1426,1631,1247,202,56,43,72,11,36.4,46274,55706
1400000US06037101222,"Census Tract 1012.22, Los Angeles County, California",2197,1150,1165,940,116,0,30,14,65,24.5,30016,42809
1400000US06037101300,"Census Tract 1013, Los Angeles County, California",3339,1721,1671,1315,120,29,0,0,207,32.5,87066,104161
1400000US06037101400,"Census Tract 1014, Los Angeles County, California",2831,1385,1567,1098,262,49,0,39,119,40.5,66210,87278
1400000US06037102103,"Census Tract 1021.03, Los Angeles County, California",1451,710,845,628,67,9,27,14,100,24.5,59005,86327
1400000US06037102104,"Census Tract 1021.04, Los Angeles County, California",3538,2085,1783,1191,136,43,37,2,374,27.3,98973,121296
1400000US06037102105,"Census Tract 1021.05, Los Angeles County, California",1506,801,1013,803,88,11,14,82,15,28.2,82438,97057
1400000US06037102107,"Census Tract 1021.07, Los Angeles County, California",3536,1789,1656,1483,134,0,0,0,39,32.2,83200,107193
1400000US06037103101,"Census Tract 1031.01, Los Angeles County, California",2068,1020,1307,1069,157,0,0,6,75,35.3,109000,114009
1400000US06037103102,"Census Tract 1031.02, Los Angeles County, California",4137,2203,2302,1823,344,75,9,0,51,39.9,71038,88040
1400000US06037103201,"Census Tract 1032.01, Los Angeles County, California",3356,1762,1975,1682,139,0,22,55,77,39.1,73844,86750
1400000US06037103202,"Census Tract 1032.02, Los Angeles County, California",2115,891,964,800,68,18,10,0,68,37.5,106125,147732
1400000US06037103300,"Census Tract 1033, Los Angeles County, California",3064,1558,1640,1287,173,33,0,10,137,40,113568,146162
1400000US06037103401,"Census Tract 1034.01, Los Angeles County, California",2280,1065,1389,984,71,22,0,0,312,32.1,109271,116611
