Geography,Geographic Area Name,Total Population,Population (Male),Population (Female),Population (Under 5 years old),Population (5-9 years old),Population (10-14 years old),Population (15-19 years old),Population (20-24 years old),Population (25-34 years old),Population (35-44 years old),Population (45-54 years old),Population (55-59 years old),Population (60-64 years old),Population (65-74 years old),Population (75-84 years old),Population (85+ years old),Race (One Race),Race (Two or More Races),Race (one: white),Race (one: black or African American),Race (one: native American),Race (one: black or Asian),Race (one: Pacific Islander),Race (one: Other),Race (two+: white and black or African American),Race (two+: white and Native American),Race (two+: white and Asian),Race (two+: black and Native American,Race (Hispanic or Latino),Race (Not Hispanic or Latino)
1400000US06059001101,"Census Tract 11.01, Orange County, California",4787,2386,2401,348,229,329,321,344,554,599,740,309,248,492,191,83,4363,424,2850,123,118,411,0,861,66,54,39,0,2643,2144
1400000US06059001102,"Census Tract 11.02, Orange County, California",3580,1785,1795,326,142,201,202,349,457,599,383,298,238,184,80,121,3295,285,2218,178,28,519,0,352,18,14,65,0,1873,1707
1400000US06059001103,"Census Tract 11.03, Orange County, California",4751,2555,2196,303,192,503,516,280,654,552,549,427,197,270,61,247,4097,654,2206,204,4,575,0,1108,0,32,13,0,2749,2002
1400000US06059001201,"Census Tract 12.01, Orange County, California",5533,2799,2734,319,433,499,556,480,675,852,898,244,203,280,48,46,5290,243,1935,18,53,355,0,2929,70,0,15,0,4340,1193
1400000US06059001202,"Census Tract 12.02, Orange County, California",3841,1728,2113,315,265,210,340,295,574,417,433,255,254,271,146,66,3416,425,2187,0,62,257,0,910,0,0,7,0,3033,808
1400000US06059001301,"Census Tract 13.01, Orange County, California",6715,3435,3280,347,335,408,298,340,1064,1011,1060,614,299,473,220,246,6180,535,3510,254,46,1597,0,773,18,118,37,0,3131,3584
1400000US06059001303,"Census Tract 13.03, Orange County, California",6396,3295,3101,305,441,425,248,397,1468,762,776,371,442,388,271,102,5698,698,3303,114,30,904,0,1347,56,83,30,0,3824,2572
1400000US06059001304,"Census Tract 13.04, Orange County, California",3684,1844,1840,183,273,273,198,200,565,498,417,263,246,275,227,66,3465,219,1939,58,106,212,0,1150,0,0,19,0,2855,829
1400000US06059001401,"Census Tract 14.01, Orange County, California",4487,2159,2328,334,297,196,263,217,903,483,561,289,201,489,196,58,4222,265,2384,103,15,499,7,1214,11,0,45,0,2687,1800
1400000US06059001402,"Census Tract 14.02, Orange County, California",4591,2286,2305,166,417,287,202,471,667,414,594,364,432,394,89,94,4354,237,2780,97,26,248,0,1203,74,37,20,0,2557,2034
1400000US06059001403,"Census Tract 14.03, Orange County, California",3717,1799,1918,128,104,145,379,288,541,367,688,368,202,240,205,62,2872,845,2474,22,0,142,0,234,0,0,92,0,1665,2052
1400000US06059001404,"Census Tract 14.04, Orange County, California",4100,2111,1989,286,249,294,292,450,749,565,581,288,115,125,76,30,3944,156,2041,28,23,230,0,1622,12,9,0,0,3294,806
1400000US06059001501,"Census Tract 15.01, Orange County, California",5826,2671,3155,219,293,412,260,336,490,689,859,415,411,852,463,127,5706,120,4261,2,0,1227,0,216,0,0,24,0,1099,4727
1400000US06059001503,"Census Tract 15.03, Orange County, California",5237,2512,2725,258,368,440,372,397,438,786,747,280,383,369,224,175,4866,371,3598,94,158,812,96,108,46,0,108,0,1727,3510
1400000US06059001504,"Census Tract 15.04, Orange County, California",4474,2253,2221,414,209,130,260,258,679,553,648,368,166,583,148,58,4081,393,3246,22,0,414,0,399,55,0,162,0,2337,2137
1400000US06059001505,"Census Tract 15.05, Orange County, California",7404,3335,4069,504,542,575,474,614,879,568,1218,855,370,394,325,86,6927,477,5278,195,0,1338,0,116,13,173,123,0,1773,5631
1400000US06059001506,"Census Tract 15.06, Orange County, California",4157,1908,2249,165,295,245,206,262,374,487,514,436,204,511,304,154,4057,100,2752,0,3,1235,0,67,0,0,52,0,1080,3077
1400000US06059001507,"Census Tract 15.07, Orange County, California",4850,2093,2757,280,262,389,211,562,860,643,685,163,229,328,97,141,4601,249,3163,89,83,1128,0,138,0,0,194,0,1426,3424
1400000US06059001602,"Census Tract 16.02, Orange County, California",4637,2254,2383,220,174,336,234,254,544,411,817,254,450,376,253,314,4344,293,2852,14,22,1381,12,63,28,9,68,0,668,3969
1400000US06059001603,"Census Tract 16.03, Orange County, California",3931,1719,2212,446,171,162,268,107,325,523,478,246,115,279,282,529,3886,45,2829,75,0,948,0,34,0,0,16,0,586,3345
1400000US06059001604,"Census Tract 16.04, Orange County, California",4614,2205,2409,321,261,407,208,346,593,382,557,298,437,386,277,141,4232,382,2607,0,0,465,57,1103,0,0,22,0,1852,2762
1400000US06059001704,"Census Tract 17.04, Orange County, California",8059,4087,3972,568,616,528,504,311,782,1311,997,762,614,565,279,222,7669,390,1717,267,43,5530,0,112,0,140,62,0,761,7298
1400000US06059001705,"Census Tract 17.05, Orange County, California",4490,2075,2415,562,233,279,166,237,700,551,465,369,257,349,229,93,4341,149,2894,45,27,768,0,607,22,0,96,0,2093,2397
1400000US06059001706,"Census Tract 17.06, Orange County, California",4043,1901,2142,29,159,225,322,122,420,357,589,350,339,478,315,338,3956,87,2073,0,0,1817,0,66,0,0,77,0,169,3874
1400000US06059001708,"Census Tract 17.08, Orange County, California",3978,1806,2172,127,128,180,244,254,438,324,421,369,385,492,307,309,3728,250,2083,5,14,1551,0,75,0,0,0,0,872,3106
1400000US06059001709,"Census Tract 17.09, Orange County, California",2918,1434,1484,74,15,99,315,116,589,152,420,431,190,364,153,0,2682,236,988,166,0,1307,0,221,0,0,105,0,830,2088
1400000US06059001710,"Census Tract 17.10, Orange County, California",5069,2533,2536,258,114,389,215,53,776,710,977,268,523,589,177,20,5026,43,1064,34,11,3867,0,50,0,0,15,0,354,4715
1400000US06059001801,"Census Tract 18.01, Orange County, California",5353,2789,2564,330,300,419,417,714,750,745,606,318,396,264,81,13,5235,118,3194,140,0,637,24,1240,0,0,108,0,3429,1924
1400000US06059001802,"Census Tract 18.02, Orange County, California",7552,3461,4091,601,547,795,574,458,1162,1001,1019,338,478,433,84,62,6882,670,4568,146,0,606,0,1562,48,88,177,0,5432,2120
1400000US06059001901,"Census Tract 19.01, Orange County, California",2724,1326,1398,203,114,114,144,228,436,353,419,238,141,134,144,56,2396,328,1503,36,20,359,12,466,0,37,34,0,1644,1080
1400000US06059001902,"Census Tract 19.02, Orange County, California",3368,1709,1659,228,220,283,225,258,574,345,351,350,170,211,114,39,2683,685,1585,128,52,394,46,478,0,34,25,0,1875,1493
1400000US06059001903,"Census Tract 19.03, Orange County, California",3172,1517,1655,330,212,217,160,144,464,538,447,167,142,183,75,93,3019,153,1492,55,5,459,0,1008,0,15,55,0,1846,1326
1400000US06059011000,"Census Tract 110, Orange County, California",6215,3241,2974,226,355,327,132,209,1135,746,658,494,571,787,488,87,5748,467,4756,107,40,677,0,168,82,256,37,0,2213,4002
1400000US06059011101,"Census Tract 111.01, Orange County, California",4218,2177,2041,433,237,265,240,255,688,572,545,288,288,225,149,33,3785,433,2314,65,154,662,56,534,64,0,145,0,1865,2353
1400000US06059011102,"Census Tract 111.02, Orange County, California",4224,2093,2131,139,232,240,365,447,606,500,776,217,198,258,222,24,3900,324,2306,151,17,743,103,580,0,85,79,0,1959,2265
1400000US06059011200,"Census Tract 112, Orange County, California",4637,2398,2239,194,354,344,398,208,546,735,470,195,352,435,294,112,4171,466,3014,86,0,562,0,509,13,88,84,0,1706,2931
1400000US06059011300,"Census Tract 113, Orange County, California",4834,2411,2423,401,294,250,61,227,1158,539,660,356,255,344,128,161,4405,429,3323,200,60,596,0,226,36,142,129,43,824,4010
1400000US06059011401,"Census Tract 114.01, Orange County, California",2112,1085,1027,125,180,91,221,148,289,260,229,174,95,171,75,54,1974,138,1549,68,7,249,0,101,4,50,68,0,515,1597
1400000US06059011402,"Census Tract 114.02, Orange County, California",3112,1560,1552,175,135,240,271,110,391,332,545,203,258,268,94,90,2826,286,2034,70,0,536,0,186,47,11,109,0,664,2448
1400000US06059011403,"Census Tract 114.03, Orange County, California",6331,3385,2946,536,426,334,493,684,1079,755,818,225,280,408,81,212,5711,620,4436,132,43,485,0,615,67,0,227,0,3481,2850
1400000US06059011502,"Census Tract 115.02, Orange County, California",5325,2836,2489,310,343,182,359,761,580,909,627,344,231,332,277,70,4611,714,3013,261,0,1018,0,319,12,4,110,0,2515,2810
1400000US06059011503,"Census Tract 115.03, Orange County, California",1853,887,966,43,90,117,99,186,244,181,197,107,105,249,100,135,1766,87,1195,10,0,545,0,16,13,14,16,0,330,1523
1400000US06059011504,"Census Tract 115.04, Orange County, California",5076,2134,2942,122,158,63,790,1968,810,471,351,85,91,81,86,0,4784,292,3122,279,0,1115,4,264,50,30,64,0,1792,3284
1400000US06059011601,"Census Tract 116.01, Orange County, California",8303,4056,4247,891,582,1103,501,534,1364,922,1182,344,302,399,147,32,7757,546,3876,153,53,353,20,3302,0,37,116,18,6882,1421
1400000US06059011602,"Census Tract 116.02, Orange County, California",5768,2630,3138,206,330,744,499,330,877,740,910,264,282,383,190,13,5317,451,3264,104,55,502,0,1392,35,24,69,14,4188,1580
1400000US06059011707,"Census Tract 117.07, Orange County, California",6757,3079,3678,733,340,457,396,345,1443,800,575,531,366,402,320,49,6269,488,4785,252,0,1205,0,27,207,0,167,0,1030,5727
1400000US06059011708,"Census Tract 117.08, Orange County, California",4718,2527,2191,284,284,379,115,747,1161,469,608,254,184,107,84,42,4433,285,3424,111,15,609,0,274,50,65,70,10,1572,3146
1400000US06059011709,"Census Tract 117.09, Orange County, California",4395,2217,2178,259,207,344,149,282,470,432,737,288,242,436,235,314,4068,327,3120,35,9,829,19,56,44,18,40,0,1122,3273
1400000US06059011710,"Census Tract 117.10, Orange County, California",3814,1857,1957,154,243,183,276,300,507,460,678,161,282,334,198,38,3558,256,2855,32,12,545,0,114,93,0,137,0,1148,2666
1400000US06059011711,"Census Tract 117.11, Orange County, California",7045,3841,3204,604,263,486,374,1127,1418,889,650,419,201,353,147,114,6400,645,4588,163,44,927,0,678,38,69,263,0,3902,3143
1400000US06059011712,"Census Tract 117.12, Orange County, California",4893,2421,2472,307,181,463,361,472,876,634,548,256,295,192,257,51,4242,651,2869,66,0,597,0,710,12,0,238,0,2870,2023
1400000US06059011714,"Census Tract 117.14, Orange County, California",770,391,379,57,30,46,40,40,279,84,93,40,44,7,10,0,702,68,400,124,0,140,0,38,25,10,21,0,130,640
1400000US06059011715,"Census Tract 117.15, Orange County, California",6795,3133,3662,399,340,398,620,289,532,1009,865,456,448,673,479,287,5840,955,4486,132,0,985,2,235,62,40,93,0,1670,5125
1400000US06059011716,"Census Tract 117.16, Orange County, California",5468,2762,2706,208,222,643,438,470,505,666,773,398,485,397,256,7,4928,540,3008,0,15,1742,38,125,0,36,90,0,1547,3921
1400000US06059011717,"Census Tract 117.17, Orange County, California",2618,1195,1423,168,168,161,187,120,285,294,392,175,143,331,122,72,2412,206,1877,64,0,426,0,45,9,72,68,0,476,2142
1400000US06059011718,"Census Tract 117.18, Orange County, California",3028,1480,1548,132,216,189,162,211,357,352,486,153,210,229,185,146,2769,259,2333,27,0,373,0,36,0,27,166,0,676,2352
1400000US06059011720,"Census Tract 117.20, Orange County, California",5927,2878,3049,474,662,616,582,460,762,708,715,360,150,252,117,69,5352,575,3562,89,0,307,64,1330,0,78,0,0,5092,835
1400000US06059011721,"Census Tract 117.21, Orange County, California",5115,2533,2582,310,450,410,326,512,1155,792,522,174,154,231,56,23,4625,490,3622,125,272,202,7,397,46,0,11,0,3739,1376
1400000US06059011722,"Census Tract 117.22, Orange County, California",2274,1052,1222,72,53,61,60,188,265,225,155,125,214,645,173,38,2027,247,1332,75,21,378,0,221,0,17,93,0,727,1547
1400000US06059021802,"Census Tract 218.02, Orange County, California",7819,3774,4045,307,1304,444,267,233,872,1013,1092,596,352,622,416,301,7544,275,6506,20,9,865,0,144,0,22,155,0,1570,6249
1400000US06059021807,"Census Tract 218.07, Orange County, California",4326,2251,2075,232,205,268,210,220,619,692,707,266,300,477,114,16,4169,157,3175,72,0,521,0,401,0,21,42,0,1660,2666
1400000US06059021809,"Census Tract 218.09, Orange County, California",3067,1499,1568,90,159,116,210,208,408,252,445,222,303,388,145,121,2754,313,2300,18,19,391,0,26,35,42,117,0,468,2599
1400000US06059021810,"Census Tract 218.10, Orange County, California",3724,1795,1929,261,245,212,179,209,445,341,629,219,352,377,195,60,3243,481,2601,87,0,492,1,62,7,18,271,0,857,2867
1400000US06059021812,"Census Tract 218.12, Orange County, California",6346,3149,3197,440,426,457,298,374,1071,1032,679,575,309,323,264,98,5899,447,5099,39,18,605,0,138,41,0,326,0,1683,4663
1400000US06059021813,"Census Tract 218.13, Orange County, California",3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0
1400000US06059021814,"Census Tract 218.14, Orange County, California",7712,3599,4113,341,413,409,607,324,1304,1013,1110,471,489,906,210,115,6569,1143,4204,375,17,1733,0,240,27,67,389,0,2064,5648
1400000US06059021816,"Census Tract 218.16, Orange County, California",5271,2626,2645,177,323,349,291,490,538,543,755,380,435,573,291,126,4823,448,3975,1,51,644,0,152,52,72,134,0,1299,3972
1400000US06059021817,"Census Tract 218.17, Orange County, California",3362,1714,1648,220,173,267,246,162,348,477,548,176,167,357,183,38,3148,214,2792,0,13,311,14,18,0,33,116,0,769,2593
1400000US06059021820,"Census Tract 218.20, Orange County, California",4894,2440,2454,372,302,184,268,389,324,620,802,521,383,396,218,115,4641,253,3445,289,0,774,0,133,9,17,190,0,1188,3706
1400000US06059021821,"Census Tract 218.21, Orange County, California",7485,4004,3481,395,562,296,650,636,1492,1100,1115,421,490,263,52,13,7171,314,4221,410,95,2103,0,342,0,0,222,0,1623,5862
1400000US06059021822,"Census Tract 218.22, Orange County, California",10146,5015,5131,484,923,917,734,365,808,1639,1803,555,510,676,478,254,9253,893,4751,137,0,4161,0,204,13,88,265,0,1414,8732
1400000US06059021823,"Census Tract 218.23, Orange County, California",4290,2169,2121,219,320,347,401,171,482,537,554,338,316,372,159,74,4066,224,2908,2,93,713,74,276,0,66,28,0,1124,3166
1400000US06059021824,"Census Tract 218.24, Orange County, California",2630,1356,1274,58,172,159,226,116,191,244,414,241,268,381,130,30,2429,201,2134,0,2,287,0,6,0,55,126,0,297,2333
1400000US06059021825,"Census Tract 218.25, Orange County, California",3222,1621,1601,145,156,212,117,160,342,332,347,379,300,401,299,32,3045,177,2208,63,0,732,0,42,22,0,73,0,261,2961
1400000US06059021826,"Census Tract 218.26, Orange County, California",2627,1157,1470,321,150,100,114,233,303,350,571,157,92,49,184,3,2552,75,2047,59,9,400,0,37,0,49,0,0,556,2071
1400000US06059021827,"Census Tract 218.27, Orange County, California",2623,1270,1353,211,99,194,148,134,357,336,318,210,184,322,59,51,2385,238,1841,107,0,428,0,9,45,0,143,0,433,2190
