Geography,Geographic Area Name,"Employed population (16+ years, all)","Employed population (16+ years, female)",Workers who commute to work (total),Workers who commute to work (drive alone),Workers who commute to work (carpool),Workers who commute to work (public transit),Workers who commute to work (walk),Workers who commute to work (other),Workers who commute to work (work from home),Mean travel time to work (minutes),Median household income (dollars),Mean household income (dollars)
1400000US06059001101,"Census Tract 11.01, Orange County, California",3839,2007,2269,1835,231,27,39,0,137,31.2,101500,121404
1400000US06059001102,"Census Tract 11.02, Orange County, California",2895,1490,1990,1623,235,33,29,10,60,36.2,99286,105070
1400000US06059001103,"Census Tract 11.03, Orange County, California",3648,1761,2265,1852,117,125,43,100,28,32.5,81938,100142
1400000US06059001201,"Census Tract 12.01, Orange County, California",4164,1960,2714,2128,343,83,103,29,28,26.7,63803,74642
1400000US06059001202,"Census Tract 12.02, Orange County, California",2976,1569,1700,1220,311,29,26,52,62,34.3,77917,84285
1400000US06059001301,"Census Tract 13.01, Orange County, California",5465,2766,3478,2982,302,21,67,15,91,34.7,75994,94358
1400000US06059001303,"Census Tract 13.03, Orange County, California",5170,2660,3791,2692,710,59,39,64,227,29,91515,98690
1400000US06059001304,"Census Tract 13.04, Orange County, California",2947,1486,1624,1301,216,0,40,0,67,26.3,71066,71280
1400000US06059001401,"Census Tract 14.01, Orange County, California",3586,1915,2031,1522,148,113,24,69,155,29.5,72941,94580
1400000US06059001402,"Census Tract 14.02, Orange County, California",3652,1924,2447,1985,238,37,24,21,142,27,86115,105081
1400000US06059001403,"Census Tract 14.03, Orange County, California",3286,1712,2147,1675,117,73,7,0,275,32.7,125583,129410
1400000US06059001404,"Census Tract 14.04, Orange County, California",3206,1656,2050,1515,347,45,33,8,102,31.9,63977,91696
1400000US06059001501,"Census Tract 15.01, Orange County, California",4861,2648,2541,2006,263,18,47,46,161,32.5,98693,111494
1400000US06059001503,"Census Tract 15.03, Orange County, California",4027,2115,2290,1962,88,0,50,15,175,30.3,92946,122009
