Geography,Geographic Area Name,Housing units (total),Housing units (occupied),Housing units (vacant),Vacancy rate (homeowner),Vacancy rate (rental),"Housing units in structure (1, detached)","Housing units in structure (1, attached)",Housing units in structure  (2),Housing units in structure (3-4),Housing units in structure (5-9),Housing units in structure (10-19),Housing units in structure (20+),Housing units in structure (mobile home),"Housing units in structure (RV, boat, etc)",Year of housing structures built (after 2014),Year of housing structures built (2010-2013),Year of housing structures built (2000-2009),Year of housing structures built (1990-1999),Year of housing structures built (1980-1989),Year of housing structures built (1970-1979),Year of housing structures built (1960-1969),Year of housing structures built (1950-1959),Year of housing structures built (1940-1949),Year of housing structures built (1939 or before),"Housing, median number rooms",Housing occupancy (owner occupied) count,Housing occupancy (renter occupied) count,Year of moving into household (2019 or after) count,Year of moving into household (2015-2018) count,Year of moving into household (2010-2014) count,Year of moving into household (2000-2009) count,Year of moving into household (1990-1999) count ,Year of moving into household (1989 or earlier) count,"Owner-occupied Unit value, less than 50k dollars count","Owner-occupied Unit value, 50 to 100k dollars count","Owner-occupied Unit value, 100 to 150k dollars count","Owner-occupied Unit value, 150 to 200k dollars count","Owner-occupied Unit value, 200 to 300k dollars count","Owner-occupied Unit value, 300 to 500k dollars count","Owner-occupied Unit value, 500 to 1000k dollars count","Owner-occupied Unit value, more than 1000k dollars count","Owner-occupied Unit value, median dollars","Monthly rent, less than 500 dollars, count","Monthly rent, 500 to 1k dollars, count","Monthly rent, 1k to 1.5k dollars, count","Monthly rent, 1.5k to 2k dollars, count","Monthly rent, 2k to 2.5k dollars, count","Monthly rent, 2.5k to 3k dollars, count","Monthly rent, more than 3k dollars, count","Monthly rent, median dollars","Monthly rent, no rent paid"
1400000US06059001101,"Census Tract 11.01, Orange County, California",1450,1394,56,0,0,1140,32,0,0,0,154,124,0,0,0,0,9,41,47,103,355,868,11,16,5.9,1022,372,0,323,228,326,138,379,0,0,0,0,0,130,880,12,639500,0,0,133,183,22,5,24,1638,5
1400000US06059001102,"Census Tract 11.02, Orange County, California",1100,1100,0,0,0,643,0,0,24,25,125,283,0,0,0,0,29,28,43,184,241,544,24,7,5.1,553,547,39,345,331,133,86,166,10,0,0,0,0,171,372,0,565400,0,48,154,179,97,55,0,1680,14
1400000US06059001103,"Census Tract 11.03, Orange County, California",1487,1443,44,0,5,598,111,0,92,235,198,253,0,0,0,9,17,94,70,421,263,530,55,28,4.3,603,840,57,606,321,232,141,86,0,0,0,0,0,145,449,9,608700,0,136,302,323,59,20,0,1448,0
1400000US06059001201,"Census Tract 12.01, Orange County, California",1400,1400,0,0,0,609,150,80,68,78,110,305,0,0,3,0,25,133,124,139,213,563,98,102,4.3,585,815,73,318,273,432,147,157,0,0,0,40,41,219,285,0,494700,0,0,321,408,49,37,0,1606,0
1400000US06059001202,"Census Tract 12.02, Orange County, California",1051,1051,0,0,0,665,48,51,26,74,42,124,21,0,15,54,5,96,82,136,277,262,29,95,4.6,568,483,68,222,166,399,104,92,0,0,0,36,28,213,278,13,506300,80,36,102,183,67,0,0,1544,15
1400000US06059001301,"Census Tract 13.01, Orange County, California",2697,2697,0,0,0,1028,502,0,0,65,202,637,263,0,267,75,160,99,135,818,510,567,19,47,4.4,1668,1029,39,860,517,685,269,327,163,72,0,50,189,268,879,47,539900,0,53,299,272,333,54,18,1799,0
1400000US06059001303,"Census Tract 13.03, Orange County, California",2107,2078,29,0,0.8,891,395,20,328,218,29,226,0,0,0,0,143,83,470,624,260,488,17,22,4.3,1106,972,74,658,480,347,218,301,6,9,0,0,107,526,458,0,455800,52,17,154,518,171,18,22,1744,20
1400000US06059001304,"Census Tract 13.04, Orange County, California",1085,999,86,0,2.6,329,73,10,91,49,131,70,332,0,8,4,58,45,239,286,139,145,86,75,4.4,547,452,11,312,201,254,103,118,57,101,49,56,58,75,130,21,251500,25,12,179,150,81,0,0,1525,5
1400000US06059001401,"Census Tract 14.01, Orange County, California",1654,1426,228,3.8,16.5,843,0,0,79,75,43,614,0,0,15,21,0,74,76,252,448,668,63,37,4.5,718,708,22,409,313,282,165,235,10,13,0,0,22,114,531,28,621100,0,99,399,158,18,0,21,1334,13
1400000US06059001402,"Census Tract 14.02, Orange County, California",1514,1448,66,0,3.4,966,68,0,114,0,164,202,0,0,0,0,9,36,224,183,534,486,22,20,5.6,796,652,42,365,303,286,212,240,0,10,0,2,0,122,644,18,636400,33,9,225,184,104,11,78,1649,8
1400000US06059001403,"Census Tract 14.03, Orange County, California",1214,1161,53,0,18.4,1207,7,0,0,0,0,0,0,0,0,0,0,0,37,121,622,419,15,0,6.3,1046,115,0,112,179,442,142,286,0,14,0,0,0,176,851,5,644300,0,0,16,19,45,29,0,2217,6
1400000US06059001404,"Census Tract 14.04, Orange County, California",1013,996,17,0,0,763,114,0,55,53,0,28,0,0,9,0,0,40,89,244,110,275,110,136,4.8,565,431,0,288,213,214,174,107,12,0,0,8,38,282,225,0,458600,0,73,52,148,113,0,0,1730,45
1400000US06059001501,"Census Tract 15.01, Orange County, California",2184,2113,71,1,0,1264,151,0,0,15,0,0,754,0,7,0,245,161,588,834,189,130,0,30,5.8,1961,152,35,239,519,619,405,296,50,233,271,178,53,170,988,18,515100,0,0,0,0,16,0,136,3238,0
1400000US06059001503,"Census Tract 15.03, Orange County, California",1778,1723,55,1.8,5,1162,217,0,53,138,51,157,0,0,0,49,77,206,129,169,599,339,38,172,5.5,1042,681,31,422,418,335,169,348,12,0,0,0,0,131,881,18,654200,11,31,89,241,131,115,39,1910,24
1400000US06059001504,"Census Tract 15.04, Orange County, California",1802,1695,107,0,0,839,188,8,166,171,62,278,90,0,21,60,71,139,164,369,143,564,104,167,4.7,732,963,54,585,412,291,157,196,7,49,18,0,7,150,487,14,578500,74,48,292,279,141,96,11,1601,22
1400000US06059001505,"Census Tract 15.05, Orange County, California",2412,2266,146,2.2,0,1707,347,21,136,46,61,94,0,0,0,0,146,160,105,722,655,595,29,0,5.9,1803,463,74,527,414,546,475,230,20,10,0,0,0,178,1373,222,660200,0,0,29,131,180,60,63,2199,0
1400000US06059001506,"Census Tract 15.06, Orange County, California",1551,1551,0,0,0,1080,18,0,50,84,0,319,0,0,52,89,56,72,236,453,542,24,21,6,5.9,1034,517,39,309,383,291,174,355,0,0,0,0,0,26,940,68,708800,38,94,158,21,159,5,32,1277,10
1400000US06059001507,"Census Tract 15.07, Orange County, California",2220,2026,194,0,4.8,301,452,0,237,319,272,639,0,0,180,0,109,94,321,865,582,69,0,0,4.2,551,1475,197,884,327,244,312,62,0,16,0,0,8,207,320,0,536200,134,0,141,597,319,103,135,1868,46
1400000US06059001602,"Census Tract 16.02, Orange County, California",1792,1723,69,0,7.7,1221,394,32,3,42,62,28,0,10,8,0,98,186,208,606,456,207,13,10,6.8,1458,265,27,344,319,346,290,397,0,29,0,0,15,174,760,480,871400,0,0,75,47,45,0,82,2028,16
1400000US06059001603,"Census Tract 16.03, Orange County, California",1565,1522,43,4.8,0,582,320,0,50,16,34,563,0,0,0,14,222,386,169,322,326,112,0,14,5.1,851,671,41,546,409,257,143,126,0,0,0,0,58,226,490,77,659300,0,17,170,167,53,94,170,1945,0
1400000US06059001604,"Census Tract 16.04, Orange County, California",1405,1362,43,0,0,1059,20,0,15,137,82,92,0,0,0,0,19,0,120,287,508,453,18,0,6,975,387,51,145,340,259,289,278,41,0,0,0,0,19,755,160,822800,0,0,73,241,0,0,41,1717,32
1400000US06059001704,"Census Tract 17.04, Orange County, California",2639,2383,256,0,10,1658,486,0,67,0,113,301,14,0,12,126,1211,207,97,346,564,65,11,0,5.9,1600,783,118,592,629,693,128,223,14,0,11,0,0,71,1210,294,847800,18,0,0,100,205,133,268,2647,59
